codice,simbolo,timeframe,motore,equivalenti,tenuta,intraday_only,ptn_neut_yes,ptn_neut_no,ptn_dir_yes,start_hour,end_hour,max_bars,stop_atr,take_profit_atr,ptn_ly_yes,ptn_ly_no,ptn_sy_yes,ptn_sy_no,not_le_day,not_se_day,level_choice,level_shift_atr,ptn_dir_no,skip_day,bb_length,bb_num_devs,level_source,n_sess,lev_include_sess0,breakout_offset_atr,direction,trailing_stop,fast,slow,gradient_length,gradient_factor,daily_factor,entry_type,le_bar,lx_bar,se_bar,sx_bar,end_long,end_short,nhigh,nlow,channel_len,dvol_min,breakeven,long_offset_atr,short_offset_atr,vol_source,vol_mult,vol_mult_short,atr_len,momentum,le_day,lx_day,le_time,lx_time,se_day,sx_day,se_time,sx_time,entrata_inizio,s_n,s_anni,s_netto,s_lordo,s_costi,s_swap,s_avg,s_dd,s_vincenti,s_allo_stop,s_notti,s_long,s_barre,s_anni_neg,s_netto_anno,s_np_dd,b_n,b_anni,b_netto,b_lordo,b_costi,b_swap,b_avg,b_dd,b_vincenti,b_allo_stop,b_notti,b_long,b_barre,b_anni_neg,b_netto_anno,b_np_dd,tenuta_broker
FDAX-30M-VBO-e5b952,FDAX,30m,VBO,,intraday,1.0,25.0,56.0,-9.0,9.0,16.0,0.0,0.8,0.0,,,,,,,,,53.0,-1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,0.3,8.5,5.0,0.0,,,,,,,,,,769,13.17,550998.7947000001,574645.5447,23646.75,0.0,716.5133871261379,47354.00930000021,56.566970091027315,12.483745123537062,0.0,100.0,24.0,1,41831.700221196224,11.635736927981675,67,0.93,28988.5505,31048.8005,2060.25,0.0,432.66493283582093,24034.6187,53.73134328358209,11.940298507462686,0.0,100.0,24.0,0,31050.052991568915,1.2061165130945057,0.7422613192240218
FDAX-4H-BO-299d38,FDAX,4h,BO,,intraday,1.0,55.0,56.0,29.0,8.0,12.0,0.0,0.8,0.0,,,,,,,,,53.0,-1.0,,,0.0,4.0,1.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443,13.1,232836.5762,246458.8262,13622.25,0.0,525.590465462754,52308.028099999996,54.401805869074494,9.255079006772009,0.0,53.72460496613996,1.0,4,17772.948684858933,4.451258911058053,32,0.91,-26730.206700000002,-25746.206700000002,984.0,0.0,-835.3189593750001,34701.09019999999,43.75,15.625,0.0,50.0,1.0,2,-29231.161668188623,-0.7702987585098986,-1.6446996042413113
FDAX-4H-LF-cc1098,FDAX,4h,LF,,intraday,1.0,4.0,56.0,52.0,-1.0,8.0,0.0,1.25,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,13.12,172559.446,175449.946,2890.5,0.0,1835.7387872340425,27002.2228,62.76595744680851,2.127659574468085,0.0,58.51063829787234,2.0,2,13152.61637134808,6.390564483454303,4,0.8,6889.5,7012.5,123.0,0.0,1722.375,2268.25,50.0,0.0,0.0,100.0,2.0,0,8617.773544520547,3.0373636063044196,0.6552136321176124
FDAX-4H-LFHL-3605bf,FDAX,4h,LF_HL,,overnight 3 giornate,0.0,55.0,56.0,52.0,-1.0,8.0,12.0,2.2,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,13.09,490954.2075,527316.0026000001,36361.795000000006,32856.295000000006,4306.615855263158,59073.08910000001,56.14035087719298,6.140350877192982,4.333333333333333,57.01754385964912,12.0,2,37499.16860923777,8.310962148414207,6,0.69,-15471.580899999999,-12791.4362,2680.1447,2495.6447,-2578.5968166666667,22734.660399999997,50.0,16.666666666666664,4.0,100.0,12.0,2,-22335.948315118578,-0.6805283486882435,-0.5956384939589355
FDAX-4H-PC-3a3d21,FDAX,4h,PC,,overnight 3 giornate,0.0,32.0,56.0,52.0,-1.0,12.0,12.0,0.5,2.2,,,,,,,,,53.0,-1.0,,,,,,0.02,0.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,785,13.19,1001136.6794999999,1145604.9193,144468.24,120329.48999999999,1275.3333496815285,101774.95620000007,35.28662420382165,61.401273885350314,2.3503184713375798,52.738853503184714,6.0,2,75879.88632234384,9.836768463281334,61,0.91,-11340.6551,-4306.8899,7033.765400000001,5158.015399999999,-185.9123786885246,71932.41029999999,26.229508196721312,72.1311475409836,1.6229508196721312,45.90163934426229,3.0,1,-12476.42853998494,-0.15765709855547552,-0.1644233952457977
FDAX-4H-RBBM-7c347c,FDAX,4h,RBB_M,,overnight 1 giornate,0.0,34.0,24.0,52.0,-1.0,-1.0,4.0,1.0,1.7,,,,,,,,,-21.0,-1.0,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,13.07,621375.4031,654045.2583000001,32669.854999999996,26243.105000000003,2973.088053110048,67490.31449999992,60.76555023923444,17.22488038277512,1.722488038277512,61.24401913875598,4.0,2,47540.294508226856,9.206882612763653,10,0.71,1025.4613999999997,2777.4406999999987,1751.9793,1444.4793,102.54613999999997,20957.387300000002,40.0,30.0,1.8,70.0,4.0,1,1451.743319186046,0.04893078442082328,0.03053711244752221
FDAX-4H-RHL-9fb44d,FDAX,4h,RHL,,overnight 10 giornate,0.0,43.0,25.0,29.0,-1.0,-1.0,40.0,1.6,0.0,,,,,,,,,53.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,120,12.99,640857.1415,785186.5871000001,144329.445,140639.445,5340.476179166667,101071.80070000002,51.66666666666667,43.333333333333336,10.475,100.0,40.0,2,49320.07394287295,6.340612683869992,9,0.77,53554.3036,64836.1277,11281.8241,11005.0741,5950.478177777778,36754.7082,66.66666666666666,33.33333333333333,12.333333333333334,100.0,40.0,0,69859.6763925,1.45707329000098,1.4164552241632464
GC-15M-BO-b7d6e3,GC,15m,BO,,intraday,1.0,3.0,56.0,-9.0,6.0,15.0,0.0,0.65,0.0,,,,,,,,,53.0,-1.0,,,0.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518,13.17,262490.1858,292144.64800000004,29654.464000000007,0.0,506.7378104247104,73387.75040000014,53.47490347490348,21.042471042471043,0.0,53.28185328185329,40.0,2,19932.336873898126,3.576757488399583,32,0.92,20145.417200000007,21974.8871,1829.4699,0.0,629.5442875000002,32357.509699999995,46.875,18.75,0.0,53.125,49.5,0,21834.165081008912,0.6225886165770047,1.0954142115469299
GC-15M-BOS-b79c91,GC,15m,BO_S,,intraday,1.0,2.0,56.0,52.0,6.0,21.0,0.0,0.8,0.0,,,,,,,,,53.0,-1.0,,,1.0,1.0,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,12.65,126065.86190000002,130817.44530000002,4751.583999999999,0.0,1518.8658060240966,26389.687999999966,60.24096385542169,16.867469879518072,0.0,40.963855421686745,30.0,4,9962.257909773909,4.777088001191988,7,0.68,25228.0553,25631.119500000004,403.0641,0.0,3604.0079,7001.705600000001,57.14285714285714,14.285714285714285,0.0,42.857142857142854,32.0,1,37155.432251310485,3.603129971645765,3.7296195890348836
GC-15M-LF-30fffd,GC,15m,LF,,overnight 10 giornate,0.0,17.0,56.0,52.0,3.0,9.0,920.0,1.15,0.0,41.0,42.0,41.0,42.0,2.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173,13.14,449270.1469,548316.5097,99046.36399999999,89142.45999999999,2596.937265317919,47889.124499999976,47.398843930635834,45.08670520231214,9.797687861271676,54.33526011560693,920.0,2,34200.90061592851,9.381465031794436,23,0.94,4893.1272999999965,12558.583100000002,7665.4562,6348.0282,212.74466521739114,53934.258299999994,30.434782608695656,69.56521739130434,7.695652173913044,26.08695652173913,412.0,1,5180.332598043475,0.0907239193460828,0.15146772467245553
GC-15M-PC-0e839f,GC,15m,PC,,intraday,1.0,3.0,56.0,52.0,7.0,10.0,0.0,0.65,0.0,,,,,,,,,-29.0,-1.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,50.0,0.0,0.0,,,,,,,,,,,,,,,,,1378,13.19,433883.5376,512771.2772,78887.744,0.0,314.8646862119013,34936.683099999995,50.72568940493469,19.15820029027576,0.0,51.37880986937591,55.0,2,32906.13831154485,12.419139400213984,78,0.96,113736.46979999999,118177.1949,4440.7253,0.0,1458.1598692307691,42414.88879999999,58.97435897435898,17.94871794871795,0.0,52.56410256410257,58.0,1,119032.22233366761,2.6815222912950323,3.617325776932814
GC-15M-RBBM-541cb4,GC,15m,RBB_M,,overnight 1 giornate,0.0,55.0,56.0,52.0,-1.0,2.0,92.0,1.25,4.0,,,,,,,,,53.0,-1.0,20.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,13.19,342042.25360000005,564201.2455,222159.0,117681.4,187.4204129315069,95833.8911999999,51.89041095890411,6.684931506849315,1.3495890410958904,46.849315068493155,92.0,4,25930.04008455791,3.5691157827054862,152,0.96,99043.83180000001,115814.5999,16770.769,8069.7115,651.6041565789475,68231.1092,50.6578947368421,10.526315789473683,1.230263157894737,48.026315789473685,92.0,1,103359.3130427143,1.4515934587796502,3.986083812661276
GC-15M-RBBU-7db95b,GC,15m,RBB_U,,intraday,1.0,,,,-1.0,2.0,0.0,0.75,0.0,152.0,153.0,152.0,153.0,,,,,,-1.0,10.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2490,13.19,668010.4596000001,810557.9689,142547.52,0.0,268.27729301204823,90194.28669999959,51.285140562249,20.522088353413654,0.0,48.15261044176707,84.0,4,50641.51522808219,7.406350047668852,204,0.97,82756.47190000002,94430.24960000002,11673.7769,0.0,405.6689799019609,64905.8527,47.549019607843135,22.54901960784314,0.0,40.68627450980392,84.0,1,84906.74539740171,1.2750232599594213,1.676623320115794
GC-15M-TFU-441e41,GC,15m,TF_U,,intraday,1.0,,,,10.0,10.0,0.0,0.5,0.0,152.0,153.0,152.0,153.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882,13.19,332800.9728,383293.7048,50492.73600000001,0.0,377.32536598639456,28458.512200000026,48.1859410430839,30.158730158730158,0.0,54.6485260770975,50.0,1,25239.94088770764,11.694250579972332,77,0.96,38979.14069999999,43383.4161,4404.2755,0.0,506.22260649350636,26989.157400000004,51.94805194805194,25.97402597402597,0.0,62.33766233766234,50.0,0,40677.517544785704,1.4442518572291547,1.6116328372463216
GC-1H-BIASBO-ee209b,GC,1h,BIAS_BO,,del motore,,,,,,,,0.5,0.0,152.0,153.0,152.0,153.0,0.0,-1.0,,,,,,,,,,,,,,,,,,2.0,5.0,17.0,5.0,14.0,7.0,7.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,2563,13.19,377810.55100000004,524537.1661,146726.624,0.0,147.40950097541943,60956.805600000014,49.27818962153726,19.508388607101054,0.0,34.10066328521264,8.0,4,28635.67207984022,6.198004427581092,186,0.97,103355.25099999999,114006.2886,10651.0368,0.0,555.6733924731183,31323.430800000002,51.61290322580645,16.666666666666664,0.0,33.33333333333333,8.0,1,106040.7455835674,3.2996146450215784,3.7030995915832223
GC-1H-BO-21f231,GC,1h,BO,,intraday,1.0,3.0,56.0,-9.0,13.0,15.0,0.0,0.65,0.0,,,,,,,,,53.0,-1.0,,,0.0,4.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,13.17,272883.89639999997,298759.99029999995,25876.096000000005,0.0,603.7254345132743,37603.72450000001,57.52212389380531,15.486725663716813,0.0,51.76991150442478,7.0,2,20721.5890145738,7.256831604539595,23,0.92,2876.7478999999976,4196.815699999999,1320.0679,0.0,125.0759956521738,14401.4384,47.82608695652174,4.3478260869565215,0.0,65.21739130434783,7.0,1,3117.8996156528165,0.19975420649648426,0.15046624143833523
GC-1H-LF-ad1a29,GC,1h,LF,,overnight 2 giornate,0.0,32.0,56.0,52.0,3.0,8.0,46.0,0.6,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,13.12,206178.37149999998,218620.49129999994,12442.119999999999,7576.040000000001,2425.6279,20522.831000000006,55.294117647058826,40.0,1.6235294117647059,56.470588235294116,46.0,1,15715.077251747703,10.046292906665748,23,0.85,24688.466899999996,27900.293,3211.826,1894.067,1073.411604347826,17868.334,47.82608695652174,43.47826086956522,1.9565217391304348,43.47826086956522,46.0,1,28995.056383360123,1.3816882368552097,1.845047015606336
GC-1H-LFHL-0d91f0,GC,1h,LF_HL,,intraday,1.0,28.0,12.0,52.0,-1.0,9.0,0.0,2.2,0.0,41.0,42.0,41.0,42.0,-1.0,2.0,2.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,13.15,205759.8341,217839.1617,12079.328000000001,0.0,975.1650905213271,14083.724600000016,57.81990521327014,0.0,0.0,46.44549763033176,15.0,1,15647.25783989694,14.609759842932442,24,0.96,13978.892499999996,15346.0,1367.1075,0.0,582.4538541666665,22374.5055,54.166666666666664,0.0,0.0,45.83333333333333,13.5,1,14546.411639957261,0.6247687798061056,0.9296460625111723
GC-1H-PC-8a30d6,GC,1h,PC,,intraday,1.0,3.0,38.0,52.0,7.0,13.0,0.0,1.15,0.0,,,,,,,,,-28.0,-1.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,15.0,0.0,0.0,,,,,,,,,,,,,,,,,982,13.19,404087.1778,460304.7106,56217.536000000015,0.0,411.4940710794297,54634.16700000031,50.81466395112017,4.0733197556008145,0.0,51.32382892057027,11.0,4,30646.354171812705,7.396235725530468,73,0.96,132667.7049,136828.0001,4160.295099999999,0.0,1817.3658205479453,36752.4017,61.64383561643836,2.73972602739726,0.0,56.16438356164384,13.0,1,138844.92611669056,3.6097696684676803,4.5305528135021875
GC-1H-VBO-0c7ac2,GC,1h,VBO,,intraday,1.0,55.0,56.0,52.0,4.0,16.0,0.0,0.6,0.0,,,,,,,,,53.0,2.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,1.0,2.0,5.0,0.0,,,,,,,,,,422,13.16,223173.66400000005,247332.3188,24158.656000000003,0.0,528.8475450236969,30775.796899999972,54.502369668246445,17.061611374407583,0.0,84.12322274881517,7.0,2,16960.91984519351,7.251596594725391,23,0.85,-3079.7479000000008,-1760.297599999998,1319.4503,0.0,-133.90208260869568,25637.260199999997,52.17391304347826,21.73913043478261,0.0,78.26086956521739,8.0,1,-3605.3779502403854,-0.12012780913305242,-0.21256971810182212
GC-30M-BIAS-9d8a5e,GC,30m,BIAS,,del motore,,,,,,,,0.2,0.0,153.0,153.0,152.0,153.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,1.0,2.0,7.0,9.0,41.0,45.0,45.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,3404,13.19,327515.90979999996,522388.08849999995,194872.19200000004,0.0,96.21501462984723,130348.96069999947,29.494712103407757,68.86016451233843,0.0,0.0,19.0,4,24823.65346637269,2.5126085243884977,250,0.98,75976.50679999997,90278.29350000001,14301.7871,0.0,303.90602719999987,59435.1859,29.599999999999998,68.4,0.0,0.0,19.0,1,77515.13717513964,1.2783085582979556,3.122632100876906
GC-30M-BIASBO-cf5abd,GC,30m,BIAS_BO,,del motore,,,,,,,,1.0,0.0,152.0,153.0,153.0,153.0,-1.0,-1.0,,,,,,,,,,,,,,,,,,2.0,9.0,34.0,2.0,7.0,14.0,14.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,1728,13.16,203582.3959,302506.93299999996,98924.54400000002,0.0,117.81388651620371,170235.76159999997,50.11574074074075,6.076388888888888,0.0,100.0,22.0,3,15475.227908943809,1.1958850125648337,126,0.98,45777.240799999985,52986.83099999999,7209.5903,0.0,363.3114349206348,25110.964400000004,53.96825396825397,7.142857142857142,0.0,100.0,22.0,1,46704.29386089384,1.8229981163128874,3.018003620735136
GC-30M-LFHL-3bcfa0,GC,30m,LF_HL,,intraday,1.0,31.0,56.0,52.0,-1.0,8.0,0.0,2.2,0.0,41.0,42.0,41.0,42.0,-1.0,2.0,2.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266,13.12,290993.7668,306221.7339,15227.968,0.0,1093.9615293233082,20204.388499999943,60.150375939849624,0.37593984962406013,0.0,53.75939849624061,34.0,2,22184.4026974953,14.40250304036674,40,0.96,7475.638600000001,9767.0,2291.3614,0.0,186.89096500000002,27333.385200000004,47.5,0.0,0.0,40.0,35.0,1,7779.136748290599,0.27349845419073815,0.3506579309060636
GC-30M-MAC-6f82f8,GC,30m,MAC,,del motore,,,,,,,,0.2,0.0,,,,,,,,,,,,,,,,,0.0,0.0,12.0,50.0,2.0,2.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,13.19,223730.96250000002,321679.77859999996,97948.82,43276.979999999996,234.2732591623037,41622.35979999995,27.958115183246075,60.10471204188481,0.9486910994764398,49.21465968586388,12.0,3,16967.968034286754,5.3752589611702,67,0.95,-12474.744100000007,-6417.59860000001,6057.1459,2213.1298,-186.1902104477613,35089.55660000001,19.402985074626866,74.6268656716418,0.7761194029850746,52.23880597014925,7.0,1,-13093.104260129317,-0.35551159116100095,-0.7716365467964346
GC-30M-PC-c6a9b9,GC,30m,PC,,intraday,1.0,55.0,6.0,52.0,6.0,15.0,0.0,1.0,0.0,,,,,,,,,53.0,-1.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,30.0,0.0,0.0,,,,,,,,,,,,,,,,,1881,13.19,544855.7579,652539.2386,107683.48800000003,0.0,289.66281653375864,49342.875799999805,50.505050505050505,6.539074960127592,0.0,49.760765550239235,26.0,1,41296.65191387736,11.042237588835512,109,0.96,161373.7406,167592.2656,6218.525299999998,0.0,1480.4930330275229,50673.155199999994,58.71559633027523,6.422018348623854,0.0,51.37614678899083,27.0,1,168887.56090014326,3.1846002081986007,4.089618723870207
GC-30M-RBBM-c7fd58,GC,30m,RBB_M,,intraday,1.0,55.0,56.0,52.0,-1.0,2.0,0.0,0.75,0.0,,,,,,,,,53.0,0.0,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2335,13.19,558268.0142999999,691942.0847,133674.08,0.0,239.08694402569589,112379.28689999983,51.520342612419704,19.82869379014989,0.0,50.107066381156315,41.0,3,42313.21689625959,4.9677127315888026,176,0.98,173661.75089999998,183727.53350000002,10065.7818,0.0,986.7144937499999,71550.56779999999,47.159090909090914,21.022727272727273,0.0,46.02272727272727,41.0,1,177178.64390006982,2.42711911644676,4.187312071650409
GC-30M-RHL-20b00f,GC,30m,RHL,,intraday,1.0,55.0,56.0,9.0,-1.0,16.0,0.0,0.75,4.0,,,,,,,,,53.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.05,0.5,,,,,,,,,,,,,,,958,13.17,411029.2935,465872.87340000004,54843.58400000002,0.0,429.04936691022965,43522.30130000002,54.69728601252609,18.997912317327767,0.0,100.0,25.0,1,31211.735852572765,9.444107531602421,60,0.97,-27734.288999999986,-24305.1457,3429.143,0.0,-462.2381499999998,89938.88750000001,50.0,28.333333333333332,0.0,100.0,26.0,1,-28454.913082162908,-0.30836815721119504,-0.9116735197480977
GC-4H-BIASW-c4d948,GC,4h,BIASW,,del motore,,,,,,,,2.2,3.0,152.0,153.0,152.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,1200.0,400.0,-1.0,0.0,400.0,400.0,1.0,678,13.19,279324.87919999997,436459.02109999995,157134.14400000003,118320.0,411.9835976401179,70977.97270000001,52.654867256637175,3.2448377581120944,2.0530973451327434,100.0,9.0,2,21179.865502968652,3.9353741530574866,48,0.95,39355.03839999999,49946.8428,10591.8044,7845.6268,819.8966333333332,77037.9129,60.416666666666664,6.25,1.9375,100.0,9.0,0,41544.5889468208,0.5108528634606869,1.961513350545014
GC-4H-BOS-c4077a,GC,4h,BO_S,,overnight 2 giornate,0.0,55.0,56.0,52.0,-1.0,-1.0,12.0,0.8,0.0,,,,,,,,,53.0,-1.0,,,1.0,1.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1703,13.19,463512.9009,756198.4773000001,292685.58400000003,195192.24,272.17433992953613,120388.92970000027,47.62184380504991,33.82266588373459,2.361714621256606,49.20728126834997,12.0,3,35131.373117602205,3.8501289284242133,130,0.98,180372.1532,203374.1898,23002.0369,15574.6081,1387.4781015384615,53874.63530000002,44.61538461538462,39.23076923076923,2.207692307692308,51.53846153846153,12.0,0,184024.94121871507,3.34799766523895,5.2381938104921755
GC-4H-LFHL-8e771a,GC,4h,LF_HL,,overnight 2 giornate,0.0,55.0,56.0,52.0,4.0,8.0,12.0,1.25,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,2.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,12.94,255504.79330000005,275032.0484999999,19527.255999999998,13401.720000000001,2387.895264485982,27072.200500000006,59.813084112149525,8.411214953271028,2.607476635514019,46.728971962616825,12.0,2,19750.926085253974,9.437902666981207,8,0.82,-48284.66219999999,-47475.6892,808.973,350.416,-6035.582774999999,48284.6622,12.5,37.5,1.875,25.0,12.0,2,-58591.271988538196,-0.9999999999999999,-2.9665075822587577
GC-4H-MAC-a1637f,GC,4h,MAC,,del motore,,,,,,,,0.4,0.0,,,,,,,,,,,,,,,,,0.0,0.0,16.0,40.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276,13.16,163261.1951,207048.80210000003,43787.60800000001,27987.159999999996,591.5260692028986,28207.08479999999,39.492753623188406,55.79710144927537,2.2065217391304346,51.449275362318836,4.0,3,12410.229242513007,5.787949951495876,19,0.79,38164.8708,41201.3323,3036.4615000000003,1954.3571,2008.6774105263157,16985.623099999993,36.84210526315789,63.1578947368421,2.0526315789473686,52.63157894736842,5.0,0,48401.802290625,2.2468925970693423,3.9001537638658386
GC-4H-PC-6248c0,GC,4h,PC,,intraday,1.0,17.0,7.0,52.0,-1.0,12.0,0.0,0.9,3.0,,,,,,,,,53.0,-1.0,,,,,,0.02,0.0,0.0,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,,,,,,,,,2000,13.19,610460.2368,724956.2283999999,114496.00000000003,0.0,305.2301184,62323.352300000144,50.849999999999994,8.799999999999999,0.0,49.55,3.0,2,46297.88236943521,9.795048152440263,155,0.96,104686.8745,113550.519,8863.6439,0.0,675.3991903225807,47775.405500000015,52.25806451612903,8.38709677419355,0.0,45.16129032258064,3.0,0,109248.23117464287,2.1912294287067846,2.3596809526382576
GC-4H-RBBM-3732c3,GC,4h,RBB_M,,overnight 10 giornate,0.0,55.0,56.0,52.0,12.0,-1.0,60.0,0.8,8.0,,,,,,,,,53.0,-1.0,10.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,13.19,228831.3689,454262.5534,225431.188,195032.5,430.9441975517891,128005.79760000002,32.95668549905838,64.40677966101694,7.6930320150659135,45.951035781544256,28.0,3,17343.98370838867,1.787664099520442,46,0.98,64415.591,78602.4784,14186.887,11543.021299999999,1400.3389347826087,118083.1024,32.608695652173914,65.21739130434783,6.673913043478261,30.434782608695656,19.5,0,65904.18659033613,0.5455106589408173,3.7998298256276968
GC-4H-RHL-04c20f,GC,4h,RHL,,overnight 1 giornate,0.0,29.0,39.0,52.0,-1.0,12.0,6.0,0.2,0.0,,,,,,,,,53.0,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,243,13.18,182608.6742,205699.9376,23091.264000000003,9180.0,751.4760255144033,27892.211200000027,27.572016460905353,71.60493827160494,0.4444444444444444,100.0,1.0,3,13852.091017975079,6.546941470169272,35,0.95,3262.4065000000023,6590.909599999997,3328.5031,1330.8845,93.21161428571435,23160.6977,28.57142857142857,71.42857142857143,0.45714285714285713,100.0,1.0,1,3424.1206153017265,0.14085959508896842,0.24719160528604944
GC-4H-TFU-55963c,GC,4h,TF_U,,overnight 1 giornate,0.0,,,,4.0,8.0,6.0,0.3,0.0,152.0,153.0,152.0,153.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1327,13.19,329141.77050000004,449195.8809,120054.11600000001,44086.020000000004,248.0344917106255,54141.9868999999,34.43858327053504,60.73850791258478,0.6314996232102487,52.97663903541824,2.0,4,24952.061368851184,6.079233314948784,101,0.98,34681.853099999986,43717.90900000001,9036.056599999998,3265.1027999999997,343.3846841584157,80854.59569999999,25.742574257425744,67.32673267326733,0.7029702970297029,56.43564356435643,2.0,1,35483.32449516805,0.4289410243133525,1.4220598438998524
GC-4H-VBO-94b8f1,GC,4h,VBO,,intraday,1.0,2.0,38.0,52.0,12.0,4.0,0.0,0.8,0.0,,,,,,,,,53.0,-1.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,1.0,0.5,2.0,10.0,0.0,,,,,,,,,,276,13.12,204020.5421,220854.3695,16833.827999999998,1033.38,739.2048626811594,20261.02039999998,55.072463768115945,6.521739130434782,0.04710144927536232,93.84057971014492,1.0,2,15553.85159716656,10.069608443807706,25,0.88,10356.2062,11785.856899999999,1429.6506,0.0,414.24824800000005,13711.450200000001,60.0,8.0,0.0,92.0,1.0,1,11710.849271052633,0.7552961976261271,0.7529227855810322
KC-15M-LF-dc9d32,KC,15m,LF,,overnight 2 giornate,0.0,5.0,56.0,-9.0,19.0,11.0,74.0,0.4,0.0,41.0,42.0,41.0,42.0,-1.0,-1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,12.68,91272.22859999999,104774.00919999999,13501.778600000001,5451.674999999999,1362.2720686567163,5307.815599999994,52.23880597014925,41.7910447761194,2.3134328358208953,47.76119402985074,74.0,4,7198.700387853594,17.19581754121226,7,0.32,-1577.6168999999989,-729.0653000000007,848.5514000000002,7.4957000000000065,-225.3738428571427,11573.1498,14.285714285714285,85.71428571428571,0.8571428571428571,71.42857142857143,21.0,1,-4924.99634807692,-0.13631698606372475,-0.6841507609327502
KC-15M-PC-73bc0d,KC,15m,PC,,intraday,1.0,55.0,56.0,52.0,16.0,13.0,0.0,2.2,0.0,,,,,,,,,53.0,-1.0,,,,,,0.5,2.0,0.0,,,,,,,,,,,,,,,20.0,0.0,0.0,,,,,,,,,,,,,,,,,57,12.81,29307.1931,36155.790199999996,6848.595600000001,0.0,514.1612824561404,5867.926400000006,64.91228070175438,0.0,0.0,0.0,8.0,3,2288.254014488029,4.994471829094511,2,0.02,1913.5713,2153.8729000000003,240.3016,0.0,956.78565,0.0,100.0,0.0,0.0,0.0,6.5,0,87366.489665625,,38.18041577222897
